p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.311103695227435	0.436	0.098	0	11	LOC726747
0	0.311072866346438	0.444	0.107	0	11	LOC409441
0	0.311063320974659	0.564	0.172	0	11	RB-LOC552318
0	0.311040861247404	0.481	0.132	0	11	MT-LOC412749
0	0.310996950746448	0.431	0.126	0	11	LOC100576277
0	0.310624545144671	0.463	0.122	0	11	LOC552370
0	0.31056997331126	0.567	0.198	0	11	LOC410336
0	0.310517002670706	0.399	0.083	0	11	LOC409198
0	0.31046923616068	0.479	0.129	0	11	LOC411539
0	0.310282041295576	0.418	0.097	0	11	LOC408438
0	0.31019976892127	0.384	0.078	0	11	LOC727031
0	0.310097024916754	0.409	0.09	0	11	LOC724475
0	0.310026203352837	0.634	0.223	0	11	LOC413753
0	0.309869328859444	0.413	0.095	0	11	LOC551012
0	0.309758073605187	0.417	0.094	0	11	LOC727415
0	0.309747179968178	0.442	0.103	0	11	LOC727025
0	0.309730810097427	0.49	0.136	0	11	LOC100578159
0	0.309522356003134	0.374	0.074	0	11	LOC726330
0	0.309509785051746	0.352	0.067	0	11	LOC102653763
0	0.309469169325681	0.403	0.092	0	11	LOC551941
0	0.309460641979587	0.457	0.116	0	11	LOC409622
0	0.309366226667291	0.507	0.14	0	11	LOC409055
0	0.30928543348965	0.427	0.098	0	11	LOC408783
0	0.309146002118067	0.631	0.222	0	11	LOC727574
0	0.30908420213632	0.373	0.072	0	11	LOC100576104
0	0.309074675713312	0.571	0.18	0	11	LOC409364
0	0.309074366704657	0.425	0.098	0	11	LOC725328
0	0.30902205368598	0.627	0.209	0	11	MT-LOC409930
0	0.309018041013482	0.565	0.172	0	11	LOC726336
0	0.308932667191674	0.409	0.088	0	11	RB-LOC552241
0	0.308916523277883	0.969	0.553	0	11	LOC726524
0	0.308820816270437	0.403	0.104	0	11	LOC725829
0	0.308733424397224	0.477	0.125	0	11	LOC551376
0	0.308611244964107	0.418	0.092	0	11	LOC724827
0	0.308605562749329	0.396	0.084	0	11	MT-LOC412984
0	0.308440246196234	0.72	0.285	0	11	LOC408721
0	0.308257882194814	0.539	0.158	0	11	RB-LOC408515
0	0.308100970873201	0.524	0.158	0	11	LOC410136
0	0.30803749077515	0.645	0.227	0	11	LOC413802
0	0.307933938676738	0.496	0.137	0	11	LOC410766
0	0.307754745223598	0.514	0.146	0	11	LOC100578597
0	0.307737759656237	0.334	0.058	0	11	MT-LOC726530
0	0.307652286321293	0.405	0.09	0	11	LOC725286
0	0.307457632892976	0.431	0.105	0	11	LOC100577228
0	0.30740754704308	0.404	0.087	0	11	LOC412642
